_Ticker,TestnetHolders.ArbitrumOneGoerli,TestnetHolders.AvalancheFuji,TestnetHolders.EthereumGoerli,TestnetHolders.EthereumSepolia,TestnetHolders.GenXTestnetForGaiaXWeb3Ecosystem,TestnetHolders.PolygonMumbai,TestnetHolders.SolanaDevnet,TestnetHolders.Total
_DataDescription,,,,,,,,Number of testnet token holders on all networks the token is natively issued on
_DataType,Int,Int,Int,Int,Int,Int,,Int
agEUR,,,,,,,,
CEUR,,,,,,,,
EURCV,,,,,,,,
EURe,,,3,,,443,,446
EURL,,,,,,,,
EUROC,,,,,,,,
EUROe,6,278684,32,3,197,68,5,278995
EURS,,,,,,,,
EURT,,,,,,,,
IBEUR,,,,,,,,
jEUR,,,,,,,,
PAR,,,,,,,,
SEUR,,,,,,,,
