_Ticker,Algorand,ArbitrumOne,AvalancheCChain,BinanceSmartChain,Celo,Ethereum,Fantom,Gnosis,Omni,Optimism,Polygon,Solana,Tezos,Tron,XTotal
_DataDescription,,,,,,,,,,,,,,,
_DataType,Float,Float,Float,Float,Float,Float,Float,,,,,,,,
agEUR,,1444992,,,,15500000,,,,1058926,2865883,,,,20869801
jEUR,,,,,,,,,,,1824406,,,,1824406
CEUR,,,,,14510000,,,,,,,,,,14510000
EURCV,,,,,,10000000,,,,,,,,,10000000
EURe,7881,,,,,3112402,,4811426,,,1469097,,,,9400806
EURL,,,,,,6010,,,,,,,3650000,,3656010
EUROC,,,1559997,,,38320000,,,,,,,,,47900000
EUROe,,111869,15020,,,1101477.16,,,,,92920.67,,,,1321286.83
EURS,10000,,,,,38290000,,,,,,,,,38300000
EURT,,,,,,34330000,,,105530000,,,,,,139860000
IBEUR,,,,,,15500000,,,,,,,,,15500000
PAR,,,,,,4133549,,,,,,,,,4133549
SEUR,,,,,,4533285,,,,453251,,,,,4986536
