_Ticker,BackingQuality,InternalAuditors,BankingAndInvestmentPartners,BankingAndInvestmentPartnersDomicile
_DataDescription,How are the reserves backed,Names of internal auditors. Empty list means none.,Names of banking and investment partners,Domicile of banking & investment partners in the same order as the previous column
_DataType,String,List,List,List
agEUR,Crypto-Assets,,[onchain Reserves],
CEUR,Crypto-Assets,,[onchain Reserves],
EURC,Cash + Bonds,[],[Bank of New York Mellon],[USA]
EURCV,100% cash,,[Societe Generale],[France]
EURe,AAA-rated short duration instruments + 2% CET1 capital,[],[State Street;Undisclosed bank;Easy Payment & Finance],[Ireland;Estonia;Spain]
EURL,,,,
EUROe,100% cash/bonds + 2% CET1 capital,[KPMG],[Osuuspankki;Bank Frick],[Finland;Liechtenstein]
EURS,100% cash,[BDO Malta],[EXT LTD;XNT LTD;UAB NexPay],[Cyprus;Malta;Lithuania]
EURT,,[],,
IBEUR,,,,
jEUR,Crypto-Assets,,[onchain Reserves],
PAR,,,,
SEUR,,,,
VEUR,Gold,[],[],[]
