_Ticker,Algorand,ArbitrumOne,AvalancheCChain,BinanceSmartChain,Celo,Ethereum,Fantom,Gnosis,Omni,Optimism,Polygon,Solana,Tezos,Tron,XTotal
_DataDescription,,,,,,,,,,,,,,,
_DataType,,,,,,,,,,,,,,,
agEUR,,,,,,,,,,,,,,,
CEUR,,,,,,,,,,,,,,,
EURCV,,,,,,[[roinevirta;20230630;https://www.sgforge.com/coinvertible/]],,,,,,,,,
EURe,,,,,,[[roinevirta;20230630;https://defillama.com/stablecoin/monerium-eur-emoney]],,[[roinevirta;20230630;https://defillama.com/stablecoin/monerium-eur-emoney]],,,[[roinevirta;20230630;https://defillama.com/stablecoin/monerium-eur-emoney]],,,,
EURL,,,,,,,,,,,,,,,
EUROC,,,,,,,,,,,,,,,[[roinevirta;20230731;https://www.circle.com/en/transparency#eurocoin-reports]]
EUROe,,[[roinevirta;20230630;https://www.euroe.com/api/totalsupply/details]],[[roinevirta;20230630;https://www.euroe.com/api/totalsupply/details]],,,[[roinevirta;20230630;https://www.euroe.com/api/totalsupply/details]],,,,,[[roinevirta;20230630;https://www.euroe.com/api/totalsupply/details]],,,,[[roinevirta;20230630;https://www.euroe.com/api/totalsupply/all]]
EURS,,,,,,[[roinevirta;20230630;https://defillama.com/stablecoin/stasis-euro]],,,,,,,,,[[roinevirta;20230731;https://defillama.com/stablecoin/stasis-euro]]
EURT,,,,,,[[roinevirta;20230630;https://defillama.com/stablecoin/euro-tether]],,,,,,,,,[[roinevirta;20230731;https://defillama.com/stablecoin/euro-tether]]
IBEUR,,,,,,,,,,,,,,,
jEUR,,,,,,,,,,,,,,,
PAR,,,,,,,,,,,,,,,
SEUR,,,,,,,,,,,,,,,
VEUR,,,,,,,,,,,,,,,
